Id Sankce,ID kontroly,Vyse pokuty,Zakon
100540,251508200301301,1000,zak. 634/1992
100542,271508200305001,1000,Nař. 1007/2011
100544,241508200045501,2000,zak. 634/1992
100546,211508190104402,1000,zak. 634/1992
100548,271508200308701,1000,zak. 634/1992
100550,271508200506501,1000,zak. 634/1992
100552,311508200605101,5000,zak. 634/1992
100554,221508200016901,1000,zak. 634/1992
100556,241508200027901,5000,zak. 634/1992
100558,101508200009502,2000,zak. 634/1992
100559,221412160037201,4000,zak. 634/1992
100561,241508180027902,1000,zak. 634/1992
100563,311508180014601,1000,zak. 634/1992
100565,311508190014601,1000,zak. 634/1992
100567,311508200024701,1000,zak. 634/1992
100569,311508180024701,1000,zak. 634/1992
100571,311508200014601,1000,zak. 634/1992
100573,241508180045501,1000,zak. 477/2001
100573,241508180045501,1000,zak. 634/1992
100575,221508200251301,2000,Nař. 1007/2011
100575,221508200251301,2000,zak. 634/1992
100576,301508190702801,2000,zak. 634/1992
100578,301508200702801,1000,zak. 634/1992
100579,221406050250501,1000,zak. 634/1992
100581,301501070035101,50000,zak. 102/2001
100582,221408040020701,2000,zak. 102/2001
100585,311508180030301,1000,zak. 64/1986
100587,311508200039801,1000,zak. 634/1992
100588,221412030018601,15000,zak. 634/1992
100589,221412040250201,15000,zak. 634/1992
100592,241508170406001,3000,zak. 22/1997
100594,241508170406002,2000,zak. 634/1992
100596,241508180406001,1000,zak. 634/1992
100598,241508190406001,3000,zak. 102/2001
100598,241508190406001,3000,zak. 22/1997
100600,241508200406001,2000,zak. 102/2001
100601,301507090038201,1000,zak. 634/1992
100602,221404160025002,5000,zak. 634/1992
100603,301506010802201,2000,zak. 634/1992
100605,241508210405901,1000,zak. 64/1986
100606,101404020913001,30000,zak. 22/1997
100607,101404020904701,15000,zak. 22/1997
100608,101403260904701,10000,zak. 22/1997
100610,271508210043901,1000,zak. 634/1992
100612,211508180019901,1000,zak. 634/1992
100614,211508200019901,1000,zak. 634/1992
100616,211508200019902,1000,zak. 634/1992
100618,271508210506501,1000,zak. 634/1992
100620,401508210013002,1000,zak. 64/1986
100622,401508210034801,1000,zak. 634/1992
100623,241507100027901,5000,zak. 634/1992
100625,311508230550601,1000,zak. 634/1992
100627,211508200104901,1000,zak. 634/1992
100630,211508210104901,1000,zak. 634/1992
100631,211508210104901,1000,
100633,211508210104902,1000,zak. 634/1992
100635,101508210009403,1000,zak. 634/1992
100637,401508200042001,1000,zak. 634/1992
100639,401508210042001,1000,zak. 634/1992
100641,401508210558102,1000,zak. 634/1992
100643,401508220004502,1000,zak. 634/1992
100645,401508220004503,4000,zak. 634/1992
100647,271508210305001,1000,zak. 634/1992
100649,241508220405901,1000,zak. 634/1992
100651,241508220405902,1000,zak. 64/1986
100653,211508200105301,1000,zak. 634/1992
100655,271508190308901,1000,zak. 634/1992
100657,271508200005102,1000,zak. 634/1992
100659,271508210018501,3000,zak. 634/1992
100661,271508220018501,1000,zak. 64/1986
100663,311508190030301,1000,zak. 634/1992
100665,311508210030301,1000,zak. 634/1992
100667,241508220403801,500,zak. 634/1992
100669,241508220403802,1000,zak. 634/1992
100671,271508210308701,1000,zak. 634/1992
100673,311508200044001,1000,zak. 634/1992
100675,271508200018301,1000,Nař. 1007/2011
100676,251505040024301,20000,zak. 634/1992
100678,311508200604501,1000,zak. 634/1992
100679,251503300041201,5000,zak. 255/2012
100680,251504210024201,40000,zak. 634/1992
100682,211508200027302,1000,zak. 634/1992
100684,211508210027301,1000,zak. 634/1992
100686,271508210032701,1000,zak. 634/1992
100688,211508200015101,1000,zak. 634/1992
100690,301508180022201,1000,zak. 634/1992
100692,301508190022201,1000,zak. 634/1992
100694,301508200022201,5000,zak. 634/1992
100696,211508200039001,1000,zak. 634/1992
100698,101508210046201,1000,zak. 634/1992
100700,101508200041302,1000,zak. 634/1992
100701,101508200009501,3000,zak. 634/1992
100705,101508210032501,2000,zak. 634/1992
100706,401508180557801,1000,zak. 634/1992
100707,401508180557802,1000,zak. 634/1992
100708,301508210802201,1000,zak. 634/1992
100710,101507240038003,5000,Nař. 1007/2011
100710,101507240038003,5000,zak. 634/1992
100711,101508040038002,2000,zak. 634/1992
100714,241508240400902,3000,zak. 634/1992
100716,241508240027901,3000,zak. 634/1992
100718,241508240038701,5000,zak. 634/1992
100719,301505280052401,5000,zak. 634/1992
100721,271508210506102,1000,zak. 634/1992
100722,101409130038001,1000,zak. 634/1992
100723,101409090052802,3000,zak. 634/1992
100725,271508250506501,1000,zak. 634/1992
100728,271506170021001,1000,zak. 634/1992
100729,301508190800101,1000,zak. 634/1992
100731,101508250044202,3000,zak. 634/1992
100733,241508250038701,3000,zak. 634/1992
100735,221508210020701,2000,zak. 64/1986
100736,301508250700401,2000,zak. 634/1992
100738,241508250405301,2000,zak. 634/1992
100743,211508250103502,1000,zak. 634/1992
100745,271508250305002,1000,zak. 634/1992
100747,101508250041303,2000,zak. 634/1992
